PAÍS;Country code;Felicidad;Indulgencia;GDP per capita
Albania;ALB;17.5;14,51;14231
Argentina;ARG; 31.9 ;61,83;22997
Armenia;ARM; 35.4 ;;14231
Australia;AUS; 26.7 ;71,43;52203
Austria;AUT;33;62,72;58650
Azerbaijan;AZE; 19.3 ;21,65;15050
Bangladesh;BGD; 26.7 ;19,64;4955
Belarus;BLR; 21.6 ;14,96;20099
Bolivia;BOL; 37.3 ;;9093
Bosnia Herzegovina;BIH; 29.6 ;;15847
Brazil;BRA; 27.8 ;59,15;15388
Bulgaria;BGR; 15.2 ;15,85;24579
Canada;CAN; 19.5 ;68,30;50661
Chile;CHL; 26.3 ;68,00;25975
China;CHN; 27.4 ;23,66;16773
Colombia;COL; 57.3 ;83,04;15621
Croatia;HRV; 18.5 ;33,26;30246
Cyprus;CYP; 26.3 ;69,87;41515
Czech Rep.;CZE;18;29,46;43006
Denmark;DNK; 31.5 ;69,64;60335
Ecuador;ECU; 60.7 ;;11851
Egypt;EGY;6.4;4,24;12261
Estonia;EST;18.1;16,29;38819
Ethiopia;ETH;33;46,00;2315
Finland;FIN;21.6;57,37;51557
France;FRA;33.3;47,77;49377
Georgia;GEO;33.2;31,92;15623
Germany;DEU;24.7;40,40;55891
Greece;GRC;15.9;49,55;30869
Guatemala;GTM;51.4;;9019
Hong Kong;HKG;12.5;16,96;62106
Hungary;HUN;20.5;31,47;33957
Iceland;ISL;44.8;66,74;60082
Indonesia;IDN;44.2;37,72;12312
Iran;IRN;18.3;40,40;12913
Iraq;IRQ;17.9;16,74;11012
Italy;ITA;18;29,69;44851
Japan;JPN;29.9;41,74;42197
Jordan;JOR;24;43,08;10497
Kazakhstan;KAZ;28.7;;27466
Kenya;KEN;50.1;;4513
Kyrgyzstan;KGZ;68.8;39,29;5481
Lebanon;LBN;18.6;;15167
Lithuania;LTU;8.4;15,63;38765
Macau SAR;MAC;14.5;;132539
Malaysia;MYS;18.4;57,14;29564
Mexico;MEX;59.1;97,32;20448
Mongolia;MNG;20.3;;12838
Montenegro;MNE;33.8;19,87;23344
Myanmar;MMR;33.3;;5297
Netherlands;NLD;37.2;68,30;59469
New Zealand;NZL;32.1;74,55;45073
Nicaragua;NIC;49.8;;5682
Nigeria;NGA;46.5;83,93;5353
North Macedonia;MKD;34.5;35,27;17583
Norway;NOR;40.8;55,13;68345
Pakistan;PAK;47.8;0,00;4889
Peru;PER;35.4;46,21;13397
Philippines;PHL;53;41,96;9292
Poland;POL;31.5;29,24;34152
Portugal;PRT;18.6;33,26;36872
Puerto Rico;PRI;50.3;89,96;36277
Romania;ROU;20.2;19,87;32300
Russia;RUS;14.7;19,87;29189
Serbia;SRB;15.8;28,13;18930
Singapore;SGP;25.8;45,54;102573
Slovakia;SVK;19.3;28,35;32557
Slovenia;SVN;21;47,54;41194
South Korea;KOR;4.1;29,46;42728
Spain;ESP;21.8;43,53;42186
Sweden;SWE;39.4;77,68;55069
Switzerland;CHE;34.1;66,07;73114
Tajikistan;TJK;62.4;;3733
Thailand;THA;32;45,09;19234
Tunisia;TUN;15.3;;11210
Turkey;TUR;22.3;49,11;27318
Ukraine;UKR;17.7;14,29;13350
United Kingdom;GBR;40.8;69,42;48513
United States;USA;28.4;68,08;65280
Vietnam;VNM;47.9;35,49;8381
Zimbabwe;ZWE;17.7;27,68;3156